date;month;hour;weather;num_territories_occupied;territory_id;total_female_presence;temperature;mean_umidity;TOA;GHI;BHI;DHI
02/fev;February;10;sunny;0;NA;0;25,2;62;5660165;3823430;2883504;939925
02/fev;February;11;sunny;2;MB_T3;2;26,2;67,5;8596688;6450022;5543185;906837
02/fev;February;12;sunny;0;NA;0;27,4;51;11003287;8352626;6991133;1361493
02/fev;February;13;sunny;0;NA;0;27,7;50;12774183;9876202;8304374;1571829
02/fev;February;16;sunny;0;NA;0;28,4;45;13213862;10199696;8383916;1815780
02/fev;February;14;sunny;3;MB_T2;3;28,2;50;13777548;10925656;9534306;1391350
02/fev;February;15;sunny;0;NA;0;28,3;46;13918632;10835533;9000631;1834902
03/fev;February;10;sunny;0;NA;0;25,9;61;5635973;3760454;2748056;1012398
03/fev;February;11;sunny;3;MB_T3;2;27,1;52;8556981;6242386;4974959;1267427
03/fev;February;12;sunny;0;NA;0;27,9;52;10987614;8376982;6998220;1378763
03/fev;February;13;sunny;3;MB_T4;2;28,2;58;12762074;9969951;8590022;1379929
03/fev;February;16;sunny;0;NA;0;27,9;50;13206932;10407747;9157913;1249833
03/fev;February;14;sunny;0;NA;0;28,3;51;13759261;10881028;9548488;1332539
03/fev;February;15;sunny;4;MB_T3;2;28,1;57;13911049;11030479;9742928;1287550
04/fev;February;10;sunny;0;NA;0;27;60;5612011;3739678;2735291;1004387
04/fev;February;11;sunny;4;MB_T3;0;27,9;53;8537292;6233082;5009455;1223627
04/fev;February;12;sunny;0;NA;0;28,5;53;10971890;8365799;7034961;1330838
04/fev;February;13;sunny;1;MB_T3;0;28,9;57;12749731;9944803;8568615;1376188
04/fev;February;16;sunny;0;NA;0;28,7;53;13199198;10374915;9123647;1251267
04/fev;February;14;sunny;0;NA;0;29;52;13749484;10839884;9462126;1377758
04/fev;February;15;sunny;6;MB_T6;1;28,8;56,42857143;13902844;10986354;9651509;1334845
05/fev;February;10;sunny;0;NA;0;27,2;65;5588277;3681951;2736291;945660
05/fev;February;11;sunny;4;MB_T3;3;28,4;52;8517706;6138229;4948277;1189952
05/fev;February;12;sunny;0;NA;0;29,2;58;10956106;8272632;7006542;1266090
05/fev;February;13;sunny;4;MB_T3;0;28,9;59;12737144;9889344;8699314;1190030
05/fev;February;16;sunny;0;NA;0;28,2;59;13190652;10356158;9373142;983016
05/fev;February;14;sunny;0;NA;0;29;58;13739265;10829363;9775347;1054017
05/fev;February;15;sunny;3;MB_T2;1;28,9;65;13894004;10988375;10005831;982544
06/fev;February;10;sunny;0;NA;0;27,2;61;5564769;3576239;2518051;1058187
06/fev;February;11;sunny;10;MD_T23;1;29;54;8498214;6015411;4664769;1350642
06/fev;February;12;sunny;0;NA;0;30,5;45;10940253;8095231;6519059;1576171
06/fev;February;13;sunny;3;MB_T2;0;29,6;62;12724299;9625408;7837010;1788398
06/fev;February;16;sunny;0;NA;0;27,6;60;13181282;10007046;8077510;1929536
06/fev;February;14;sunny;0;NA;0;30,5;50;13728593;10484951;8536328;1948623
06/fev;February;15;sunny;0;NA;0;28,7;58;13884515;10616100;8619614;1996486
07/fev;February;10;sunny;0;NA;0;27;61;5541483;3427421;2160261;1267160
07/fev;February;11;sunny;0;NA;0;28,6;56;8478809;5873079;4218107;1654972
07/fev;February;12;sunny;0;NA;0;29,5;50;10924318;8001625;6151222;1850403
07/fev;February;13;sunny;14;MB_T1;2;30,6;57;12711184;9607067;7701996;1905070
07/fev;February;16;sunny;0;NA;0;20,2;78;13171079;10056664;8080661;1976003
07/fev;February;14;sunny;0;NA;0;30,5;48;13717451;10536246;8651189;1885058
07/fev;February;15;sunny;0;NA;0;31,6;47;13874368;10690205;8781721;1908484
08/fev;February;10;sunny;0;NA;0;25,8;19;5518415;3471538;2306040;1165498
08/fev;February;11;sunny;3;MB_T1;0;25,1;74;8459482;5924783;4440247;1484536
08/fev;February;12;sunny;0;NA;0;26,2;62;10908290;8036288;6372390;1663899
08/fev;February;13;sunny;0;NA;0;27,5;54;12697784;9608444;7842801;1765642
08/fev;February;16;sunny;0;NA;0;25;80;13160033;10045489;8274536;1770953
08/fev;February;14;sunny;5;MB_T1;2;29,1;81,2;13705829;10506169;8695143;1811026
08/fev;February;15;sunny;0;NA;0;27,1;57;13863549;10655741;8843320;1812421
09/fev;February;10;sunny;0;NA;0;25,2;76;5495562;3523781;2463803;1059978
09/fev;February;11;sunny;0;NA;0;27;63;8440226;5982389;4647581;1334808
09/fev;February;12;sunny;7;MB_T1;0;27;68;10892158;8090288;6589645;1500643
09/fev;February;13;sunny;0;NA;0;27,2;57;12684088;9652104;8039148;1612956
09/fev;February;16;sunny;0;NA;0;23,5;75;13148137;10078174;8456596;1621578
09/fev;February;14;sunny;0;NA;0;26,7;62;13693712;10538700;8860638;1678061
09/fev;February;15;sunny;0;NA;0;22;78;13852045;10684609;9003814;1680795
10/fev;February;10;sunny;0;NA;0;26,6;63;5472918;3555472;2553635;1001837
10/fev;February;11;sunny;12;MA_T1;2;28,5;60;8421032;6035652;4790363;1245290
10/fev;February;12;sunny;0;NA;0;29,2;49;10875912;8174961;6828523;1346438
10/fev;February;13;sunny;0;NA;0;28,5;52;12670083;9774393;8422714;1351679
10/fev;February;16;sunny;0;NA;0;29,1;53;13135382;10176962;8651838;1525123
10/fev;February;14;sunny;0;NA;0;29,7;45;13681088;10692626;9384296;1308331
10/fev;February;15;sunny;9;MC_T5;1;30,2;64;13839847;10830637;9463603;1367034
11/fev;February;10;sunny;0;NA;0;26,1;60;5450480;3606554;2734361;872193
11/fev;February;11;sunny;5;MC_T10;0;26,7;66;8401892;6067263;4986930;1080332
11/fev;February;12;sunny;0;NA;0;28,5;50;10859539;8173896;6967444;1206452
11/fev;February;13;sunny;0;NA;0;28,7;47;12655757;9737377;8445861;1291515
11/fev;February;16;sunny;0;NA;0;29,2;45;13121760;10152952;8840358;1312593
11/fev;February;14;sunny;0;NA;0;29,7;46;13667946;10625725;9283284;1342441
11/fev;February;15;sunny;6;MA_T1;3;29,5;61,16666667;13826945;10768230;9418594;1349636
12/fev;February;10;sunny;0;NA;0;27,6;57;5428245;3563203;2570854;992349
12/fev;February;11;sunny;6;MA_T2;4;28,7;62;8382798;6039698;4817040;1222658
12/fev;February;12;sunny;0;NA;0;29,7;53;10843030;8165214;6844665;1320549
12/fev;February;13;sunny;0;NA;0;29,1;48;12641097;9745294;8410925;1334369
12/fev;February;16;sunny;0;NA;0;27,9;56;13107264;10154351;8834111;1320239
12/fev;February;14;sunny;0;NA;0;29,2;53;13654271;10646686;9343068;1303617
12/fev;February;15;sunny;0;NA;0;28;56;13813326;10786583;9488251;1298332
13/fev;February;10;sunny;0;NA;0;26,6;62;5406207;3508651;2545790;962861
13/fev;February;13;sunny;0;NA;0;29,7;50;5406207;3508651;2545790;962861
